Code,Move,Type,I.O.,,,,,P.H.,Resources,,,Infrastructure,,,,,,
01832,Carry out vehicular bombing,Assault,A,A,C,C,C,B,"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD","Communication, Funging, Transportation",,,,,,
01833,Carry out roadside bombing,Assault,A,A,C,C,C,B,"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD","Communication, Funging, Transportation",,,,,,
01834,Carry out location bombing,Assault,A,A,C,B,C,B,"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD","Communication, Funging, Transportation",,,,,,
00184,Use as a human shield,Assault,B,A,C,A,C,B,"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD","Communication, Funging, Transportation",,,,,,
00185,Attempt to assassinate,Assault,A,A,C,C,B,A,"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD","Communication, Funging, Transportation",,,,,,
00186,Assassinate,Assault,A,A,C,C,B,A,"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD","Communication, Funging, Transportation",,,,,,
,,,,,,,,,,,,,,,,,,
00190,Use conventional violence,Fight,A,A,C,B,B,A,"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD","Communication, Funging, Transportation",,,,,,
00192,Occupy territory,Fight,A,A,A,A,A,B,"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD","Communication, Funging, Transportation",,,,,,
00193,Fight with small arms and light weapons,Fight,A,A,C,C,C,B,"PARLOP, PARML2, PARBL2, PARRL2, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS","PARPRS, PARPMS, PARGOV, PARPOP, PARLAB, PARINS, PARSEP, PPRRGR, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, MARENL, MARDRO, MARINF, MARSHI, MARPLA, MARMIS, MARWMD","Communication, Funging, Transportation",,,,,,
